Player Name,Position,NHL Team,Fantasy Points,Current Team,Current Owner,Drafted Team,Drafted By,Draft Round,Draft Pick,ADP,Pct Drafted,Goals,Assists,Points,PIM,SOG,Hits,Blocks,Games Played,Wins,Saves,Save %,GA,Shutouts,Pct Owned
Connor McDavid,C,EDM,571.4,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,1,1,1.1,1.0,64.0,89.0,153.0,36.0,352.0,89.0,40.0,82.0,,,,,,99.0
David Pastrnak,RW,BOS,508.9,McAvoy AntiVirus,Ryan,McAvoy AntiVirus,Ryan,2,21,24.2,1.0,61.0,52.0,113.0,38.0,407.0,91.0,33.0,82.0,,,,,,99.0
Brady Tkachuk,LW,OTT,471.7,Miller Time,Ross,Miller Time,Ross,1,6,29.2,1.0,35.0,48.0,83.0,126.0,347.0,242.0,9.0,82.0,,,,,,98.0
Matthew Tkachuk,RW,FLA,457.15,Boats and Ahos,Mitchell,Boats and Ahos,Mitchell,2,13,15.6,1.0,40.0,69.0,109.0,123.0,322.0,68.0,31.0,79.0,,,,,,99.0
Leon Draisaitl,"C,LW",EDM,455.2,Can’t Tuch This,Johnathan,Can’t Tuch This,Johnathan,1,3,2.4,1.0,52.0,76.0,128.0,24.0,247.0,66.0,40.0,80.0,,,,,,100.0
Nathan MacKinnon,C,COL,455.1,Bangers and Mash,conor,Bangers and Mash,conor,1,2,4.7,1.0,42.0,69.0,111.0,30.0,366.0,53.0,40.0,71.0,,,,,,100.0
Mikko Rantanen,"C,RW",DAL,455.1,Moritz with a side of seider,cam,Moritz with a side of seider,cam,1,9,8.8,1.0,55.0,50.0,105.0,82.0,306.0,77.0,41.0,82.0,,,,,,100.0
Jason Robertson,LW,DAL,424.6,BCs ringers,Bruce,BCs ringers,Bruce,6,65,48.3,1.0,46.0,63.0,109.0,20.0,313.0,57.0,19.0,82.0,,,,,,98.0
Elias Pettersson,"C,LW",VAN,414.5,Boats and Ahos,Mitchell,Boats and Ahos,Mitchell,7,84,51.4,1.0,39.0,63.0,102.0,14.0,257.0,74.0,89.0,80.0,,,,,,98.0
Auston Matthews,C,TOR,413.8,McAvoy AntiVirus,Ryan,McAvoy AntiVirus,Ryan,1,4,3.1,1.0,40.0,45.0,85.0,20.0,327.0,78.0,92.0,74.0,,,,,,99.0
Nikita Kucherov,RW,TB,409.0,Wu-Letang Clan,Jesse,Wu-Letang Clan,Jesse,1,7,8.6,1.0,30.0,83.0,113.0,36.0,271.0,61.0,28.0,82.0,,,,,,99.0
Alex Ovechkin,LW,WSH,406.0,Bettman's Babes,Cooper,Bettman's Babes,Cooper,1,10,12.1,1.0,42.0,33.0,75.0,48.0,294.0,188.0,23.0,73.0,,,,,,99.0
J.T. Miller,"C,LW,RW",NYR,400.6,Miller Time,Ross,Miller Time,Ross,2,19,23.4,1.0,32.0,50.0,82.0,60.0,223.0,200.0,51.0,81.0,,,,,,99.0
Tage Thompson,"C,RW",BUF,395.15,Miller Time,Ross,Miller Time,Ross,10,115,141.4,0.94,47.0,47.0,94.0,39.0,295.0,55.0,26.0,78.0,,,,,,95.0
Jack Hughes,"C,LW",NJ,393.7,Hughes Can't Lose,Adam,Hughes Can't Lose,Adam,6,68,82.7,1.0,43.0,56.0,99.0,6.0,336.0,12.0,30.0,78.0,,,,,,96.0
Timo Meier,"LW,RW",NJ,389.95,DubJ,John,DubJ,John,2,14,37.1,1.0,40.0,26.0,66.0,43.0,327.0,154.0,37.0,78.0,,,,,,97.0
Tim Stutzle,"C,LW",OTT,388.9,Wu-Letang Clan,Jesse,Wu-Letang Clan,Jesse,9,103,90.0,1.0,39.0,51.0,90.0,54.0,228.0,114.0,49.0,78.0,,,,,,94.0
Sidney Crosby,C,PIT,381.2,Bangers and Mash,conor,Bangers and Mash,conor,2,23,20.8,1.0,33.0,60.0,93.0,52.0,255.0,71.0,47.0,82.0,,,,,,99.0
John Tavares,"C,LW",TOR,374.5,Can’t Tuch This,Johnathan,Can’t Tuch This,Johnathan,4,46,71.6,1.0,36.0,44.0,80.0,34.0,277.0,112.0,36.0,80.0,,,,,,95.0
Mika Zibanejad,C,NYR,374.0,Moritz with a side of seider,cam,Moritz with a side of seider,cam,3,33,28.8,1.0,39.0,52.0,91.0,20.0,251.0,71.0,48.0,82.0,,,,,,99.0
Erik Karlsson,D,PIT,368.8,Boats and Ahos,Mitchell,Boats and Ahos,Mitchell,16,181,133.5,0.99,25.0,76.0,101.0,36.0,209.0,33.0,90.0,82.0,,,,,,96.0
Steven Stamkos,"C,LW",NSH,366.7,BCs ringers,Bruce,BCs ringers,Bruce,2,17,19.6,1.0,34.0,50.0,84.0,46.0,240.0,92.0,51.0,81.0,,,,,,99.0
Brayden Point,C,TB,366.35,Miller Time,Ross,Miller Time,Ross,9,102,108.5,1.0,51.0,44.0,95.0,7.0,235.0,37.0,37.0,82.0,,,,,,91.0
Ryan Nugent-Hopkins,"C,LW",EDM,363.75,McAvoy AntiVirus,Ryan,McAvoy AntiVirus,Ryan,15,172,140.0,1.0,37.0,67.0,104.0,35.0,201.0,48.0,26.0,82.0,,,,,,93.0
Zach Hyman,"LW,RW",EDM,360.55,Boats and Ahos,Mitchell,Boats and Ahos,Mitchell,11,132,119.4,1.0,36.0,47.0,83.0,39.0,276.0,77.0,19.0,79.0,,,,,,92.0
