Player,Pos,Team,Rank,Fan Pts,Cur Team,Owner,Draft Team,Draft Owner,Rd,Pick,ADP,% Draft,GP,G,A,P,PIM,SOG,HIT,BLK,W,SV,SV%,GA,SO,% Own,Fan Pts/GP,ID
Ukko-Pekka Luukkonen,G,BUF,538,63.00,Pond Hockey Stars,PIERRE,Sure Would,Johnathan,18,247,172.4,0.3,15,,,,,,,,9,385,0.904,41,0,43.0,4.20,465.p.7569
Nick Paul,"C,LW",TB,539,63.00,,,,,,,,,24,5,6,11,8,36,37,12,,,,,,2.0,2.62,465.p.6080
Max Crozier,D,TB,540,62.85,,,,,,,,,25,1,9,10,25,33,29,27,,,,,,,2.51,465.p.30121
Cole Perfetti,"C,LW,RW",WPG,541,62.60,,,Pond Hockey Stars,PIERRE,17,235,171.4,0.6,29,3,8,11,8,52,24,13,,,,,,15.0,2.16,465.p.8650
Uvis Balinskis,D,FLA,542,62.60,,,,,,,,,35,1,6,7,24,31,47,26,,,,,,,1.79,465.p.30327
Oliver Moore,C,CHI,543,62.50,,,,,,,,,33,5,9,14,6,41,19,10,,,,,,,1.89,465.p.30559
Max Shabanov,RW,NYI,544,62.50,,,,,,,,,32,4,11,15,2,39,21,10,,,,,,1.0,1.95,465.p.33674
Joel Hanley,D,CGY,545,62.25,,,,,,,,,42,0,6,6,25,27,26,57,,,,,,,1.48,465.p.6955
Cody Ceci,D,LA,546,62.20,,,,,,,,,44,1,7,8,8,34,19,55,,,,,,,1.41,465.p.5695
Matias Maccelli,"LW,RW",TOR,547,62.20,,,Pond Hockey Stars,PIERRE,15,207,,,33,7,10,17,8,32,6,10,,,,,,3.0,1.88,465.p.8376
Alex Turcotte,"C,LW",LA,548,62.05,,,,,,,,,43,3,7,10,17,44,19,24,,,,,,,1.44,465.p.8283
Blake Lizotte,C,PIT,549,61.90,,,,,,,,,34,5,5,10,10,36,32,18,,,,,,,1.82,465.p.8249
Nikita Grebenkin,RW,PHI,550,61.85,,,,,,,,,31,3,7,10,21,20,55,9,,,,,,,2.00,465.p.32990
Sam Rinzel,D,CHI,551,61.60,,,Eichel Power,Bruce,15,209,166.0,0.7,28,1,7,8,28,39,26,29,,,,,,8.0,2.20,465.p.31910
Luke Kunin,"C,LW,RW",FLA,552,61.25,,,,,,,,,34,2,1,3,21,25,67,28,,,,,,,1.80,465.p.7123
Nick Foligno,"C,LW",CHI,553,61.10,,,,,,,,,23,1,7,8,18,23,59,17,,,,,,1.0,2.66,465.p.4008
Jacob Markstrom,G,NJ,554,60.80,The Leon King,cam,The Leon King,cam,12,166,77.4,1.0,21,,,,,,,,10,509,0.878,71,0,65.0,2.90,465.p.4947
Arturs Silovs,G,PIT,555,60.60,,,,,,,180.6,0.0,20,,,,,,,,8,473,0.886,61,1,13.0,3.03,465.p.8433
Nick Bjugstad,C,STL,556,60.60,,,,,,,,,25,4,1,5,12,39,52,18,,,,,,,2.42,465.p.4979
