Player,Pos,Team,Rank,Fan Pts,Cur Team,Owner,Draft Team,Draft Owner,Rd,Pick,ADP,% Draft,GP,G,A,P,PIM,SOG,HIT,BLK,W,SV,SV%,GA,SO,% Own,Fan Pts/GP,ID
Calvin Pickard,G,EDM,694,33.40,Bangers and Mash,conor,,,,,172.2,0.3,13,,,,,,,,5,357,0.871,53,0,9.0,2.57,465.p.5022
Igor Chernyshov,"LW,RW",SJ,695,33.10,,,,,,,,,11,3,6,9,2,21,3,5,,,,,,12.0,3.01,465.p.32794
David Kampf,C,VAN,696,32.70,,,,,,,,,23,2,1,3,6,17,26,15,,,,,,,1.42,465.p.7499
Scott Sabourin,RW,TB,697,32.35,,,,,,,,,9,1,2,3,63,5,15,4,,,,,,,3.59,465.p.6248
Donovan Sebrango,D,FLA,698,32.00,,,,,,,,,16,0,2,2,32,10,28,12,,,,,,,2.00,465.p.8701
Noah Gregor,C,FLA,699,31.35,,,,,,,,,24,1,2,3,11,20,27,7,,,,,,,1.31,465.p.7218
Juho Lammikko,LW,NJ,700,31.00,,,,,,,,,22,0,2,2,4,15,37,13,,,,,,,1.41,465.p.6434
Travis Hamonic,D,DET,701,30.90,,,,,,,,,19,0,1,1,18,16,19,26,,,,,,,1.63,465.p.4771
Ville Koivunen,RW,PIT,702,30.80,,,,,,,,,27,2,3,5,8,28,3,11,,,,,,1.0,1.14,465.p.8926
Ville Husso,G,ANA,703,30.60,,,,,,,,,9,,,,,,,,5,228,0.884,30,0,1.0,3.40,465.p.6462
Jiri Kulich,C,BUF,704,30.40,,,,,,,,,12,3,2,5,4,20,9,12,,,,,,1.0,2.53,465.p.9296
Stephen Halliday,C,OTT,705,30.40,,,,,,,,,18,0,6,6,0,18,22,6,,,,,,,1.69,465.p.32592
Arshdeep Bains,LW,VAN,706,30.40,,,,,,,,,26,1,4,5,12,14,22,5,,,,,,,1.17,465.p.9231
Ryan Graves,D,PIT,707,30.20,,,,,,,,,17,1,0,1,8,19,13,31,,,,,,,1.78,465.p.6089
Maxim Tsyplakov,"LW,RW",NYI,708,30.00,,,,,,,,,24,1,0,1,4,18,43,4,,,,,,,1.25,465.p.33086
Daniil But,LW,UTA,709,29.90,,,,,,,,,18,2,2,4,6,29,7,10,,,,,,,1.66,465.p.30552
Justin Barron,D,NSH,710,29.90,,,,,,,,,21,0,4,4,6,15,13,23,,,,,,,1.42,465.p.8665
Jack St. Ivany,D,PIT,711,29.80,,,,,,,,,11,0,3,3,4,15,28,14,,,,,,,2.71,465.p.8009
Rasmus Ristolainen,D,PHI,712,29.80,,,,,,,,,12,0,3,3,4,20,15,22,,,,,,1.0,2.48,465.p.5987
Colton White,D,NJ,713,29.70,,,,,,,,,23,0,4,4,2,14,23,16,,,,,,,1.29,465.p.6839
Joel Kiviranta,LW,COL,714,29.70,,,,,,,,,21,1,3,4,6,13,30,5,,,,,,,1.41,465.p.8273
Otto Stenberg,C,STL,715,29.40,,,,,,,,,12,1,5,6,0,9,24,8,,,,,,,2.45,465.p.30568
Dmitri Simashev,D,UTA,716,29.30,,,,,,,,,24,0,1,1,18,23,8,26,,,,,,,1.22,465.p.30551
Samuel Ersson,G,PHI,717,29.20,,,,,,,173.0,0.0,16,,,,,,,,6,331,0.858,55,0,3.0,1.82,465.p.8040
Isak Rosen,RW,BUF,718,28.60,,,,,,,,,13,3,4,7,0,14,6,9,,,,,,,2.20,465.p.8889
Danton Heinen,LW,CBJ,719,28.20,,,,,,,,,17,1,1,2,8,18,23,12,,,,,,,1.66,465.p.6484
Jake Bean,D,CGY,720,28.20,,,,,,,,,16,1,1,2,16,16,3,29,,,,,,,1.76,465.p.7121
Kasperi Kapanen,RW,EDM,721,27.80,,,,,,,,,9,1,5,6,0,9,24,4,,,,,,2.0,3.09,465.p.6388
Carter Hart,G,VGK,722,27.60,,,,,,,,,12,,,,,,,,5,243,0.871,36,0,27.0,2.30,465.p.7156
Kyle Capobianco,D,DAL,723,27.50,,,,,,,,,21,2,3,5,6,13,8,14,,,,,,,1.31,465.p.6805
Noah Philp,C,CAR,724,27.40,,,,,,,,,17,2,1,3,4,14,30,2,,,,,,,1.61,465.p.9240
Rutger McGroarty,RW,PIT,725,27.20,,,,,,,,,16,2,1,3,0,28,16,4,,,,,,1.0,1.70,465.p.31653
Nick DeSimone,D,UTA,726,27.00,,,,,,,,,20,2,1,3,4,20,10,15,,,,,,,1.35,465.p.7488
Vincent Iorio,D,SJ,727,26.90,,,,,,,,,19,0,3,3,10,7,10,29,,,,,,,1.42,465.p.8930
Lukas Reichel,LW,CHI,728,26.70,,,,,,,,,19,2,3,5,6,15,7,11,,,,,,,1.41,465.p.8657
Cale Fleury,D,SEA,729,26.65,,,,,,,,,13,1,1,2,5,17,21,13,,,,,,,2.05,465.p.7602
Michael Kesselring,D,BUF,730,26.10,,,,,,,,,16,0,0,0,10,23,14,22,,,,,,1.0,1.63,465.p.8061
Haydn Fleury,D,WPG,731,25.50,,,,,,,,,17,0,0,0,6,11,23,26,,,,,,,1.50,465.p.6373
Ilya Solovyov,D,COL,732,25.20,,,,,,,,,13,1,2,3,4,11,15,17,,,,,,,1.94,465.p.8841
Juuso Parssinen,C,NYR,733,24.90,,,,,,,,,14,2,1,3,2,12,20,9,,,,,,,1.78,465.p.8485
Samuel Helenius,C,LA,734,24.35,,,,,,,,,17,1,0,1,7,8,37,4,,,,,,,1.43,465.p.8934
Jeffrey Viel,LW,BOS,735,24.30,,,,,,,,,10,0,0,0,30,11,27,4,,,,,,,2.43,465.p.7374
Jonah Gadjovich,LW,FLA,736,24.15,,,,,,,,,10,0,3,3,7,8,30,3,,,,,,,2.42,465.p.7570
Colin Miller,D,WPG,737,23.90,,,,,,,,,14,0,1,1,6,16,25,10,,,,,,,1.71,465.p.5841
Mathew Dumba,D,PIT,738,23.75,,,,,,,,,11,1,2,3,11,7,16,12,,,,,,,2.16,465.p.5687
Gabe Perreault,RW,NYR,739,23.50,,,,,,,,,13,1,4,5,2,11,8,11,,,,,,1.0,1.81,465.p.30574
Isaac Howard,LW,EDM,740,23.00,,,,,,,,,21,2,1,3,12,25,3,2,,,,,,1.0,1.10,465.p.31876
Jack Finley,C,TB,741,23.00,,,,,,,,,13,2,1,3,12,10,19,1,,,,,,,1.77,465.p.8696
Urho Vaakanainen,D,NYR,742,22.60,,,,,,,,,20,0,3,3,12,12,7,15,,,,,,,1.13,465.p.7533
Jacob Bryson,D,BUF,743,22.50,,,,,,,,,27,1,3,4,6,9,7,14,,,,,,,0.83,465.p.7614
Scott Morrow,D,NYR,744,22.50,,,,,,,,,18,0,3,3,2,15,5,20,,,,,,,1.25,465.p.30147
Jake Christiansen,D,CBJ,745,22.20,,,,,,,,,26,0,1,1,4,18,18,12,,,,,,,0.85,465.p.8197
Justus Annunen,G,NSH,746,22.00,,,,,,,,,9,,,,,,,,3,230,0.875,33,0,4.0,2.44,465.p.7962
Filip Hallander,C,PIT,747,21.50,,,,,,,,,13,1,3,4,2,22,3,5,,,,,,,1.65,465.p.7956
Vitek Vanecek,G,UTA,748,21.20,,,,,,,,,11,,,,,,,,2,246,0.879,34,0,1.0,1.93,465.p.6408
Nick Leddy,D,SJ,749,21.10,,,,,,,,,18,0,3,3,6,6,2,26,,,,,,,1.17,465.p.4696
Daemon Hunt,D,MIN,750,21.00,,,,,,,,,14,0,3,3,4,4,11,20,,,,,,,1.50,465.p.8703
Owen Beck,C,MTL,751,20.90,,,,,,,,,14,1,0,1,6,11,23,7,,,,,,,1.49,465.p.9301
Connor Ingram,G,EDM,752,20.80,Bangers and Mash,conor,,,,,,,6,,,,,,,,3,149,0.892,18,0,18.0,3.47,465.p.6985
Mackenzie MacEachern,LW,VAN,753,20.80,,,,,,,,,8,1,3,4,12,6,10,6,,,,,,,2.60,465.p.5758
Matthew Kessel,D,STL,754,20.60,,,,,,,,,20,2,1,3,4,11,7,11,,,,,,,1.03,465.p.8788
Michael Brandsegg-Nygård,RW,DET,755,20.50,,,,,,,,,9,0,1,1,2,14,28,3,,,,,,,2.28,465.p.32791
Declan Chisholm,D,WSH,756,20.10,,,,,,,,,16,0,3,3,2,15,5,14,,,,,,,1.26,465.p.8047
Vladislav Kolyachonok,D,BOS,757,20.00,,,,,,,,,13,1,2,3,4,12,5,13,,,,,,,1.54,465.p.8330
Brendan Smith,D,CBJ,758,19.95,,,,,,,,,15,0,2,2,11,10,12,11,,,,,,,1.33,465.p.4266
Max Jones,LW,EDM,759,19.85,,,,,,,,,8,1,1,2,5,12,20,2,,,,,,,2.48,465.p.7132
Alexander Holtz,RW,VGK,760,19.80,,,,,,,,,13,1,2,3,8,16,4,7,,,,,,,1.52,465.p.8647
Robby Fabbri,"C,LW",STL,761,19.50,,,,,,,,,9,0,3,3,6,10,16,4,,,,,,,2.17,465.p.6387
Sam Lafferty,"C,RW",CHI,762,19.30,,,,,,,,,17,1,1,2,14,6,20,1,,,,,,,1.14,465.p.6481
Filip Chytil,C,VAN,763,19.30,,,,,,,,,6,3,0,3,6,15,3,4,,,,,,1.0,3.22,465.p.7536
Denver Barkey,C,PHI,764,19.20,,,,,,,,,10,1,2,3,4,11,10,7,,,,,,,1.92,465.p.30611
John Leonard,LW,DET,765,19.20,,,,,,,,,9,2,2,4,0,9,8,6,,,,,,,2.13,465.p.8080
Kaiden Guhle,D,MTL,766,19.15,Ross' Rink Rats,Ross,DubJ,John,18,239,,,6,1,1,2,7,9,16,6,,,,,,6.0,3.19,465.p.8656
Kurtis MacDermid,LW,OTT,767,18.25,,,,,,,,,16,0,1,1,33,2,13,5,,,,,,,1.14,465.p.5904
Parker Ford,C,WPG,768,18.20,,,,,,,,,11,0,1,1,4,7,20,11,,,,,,,1.65,465.p.31472
Charles Alexis Legault,D,CAR,769,17.50,,,,,,,,,8,1,1,2,10,10,9,6,,,,,,,2.19,465.p.30710
Jack Studnicka,C,FLA,770,17.00,,,,,,,,,17,0,0,0,4,16,19,5,,,,,,,1.00,465.p.7568
Petr Mrazek,G,ANA,771,16.40,,,,,,,,,8,,,,,,,,3,212,0.858,35,0,1.0,2.05,465.p.5114
Trent Miner,G,COL,772,15.80,,,,,,,,,2,,,,,,,,1,69,0.945,4,1,2.0,7.90,465.p.8478
Jared Davidson,C,MTL,773,15.70,,,,,,,,,10,0,1,1,10,9,18,1,,,,,,,1.57,465.p.9397
Bradly Nadeau,LW,CAR,774,15.60,,,,,,,,,8,2,0,2,0,8,12,4,,,,,,,1.95,465.p.30570
Justin Kirkland,C,CGY,775,15.60,,,,,,,,,13,0,1,1,0,7,21,6,,,,,,,1.20,465.p.6431
Michael Misa,C,SJ,776,15.50,,,Eichel Power,Bruce,17,237,177.0,0.1,7,1,2,3,2,13,2,5,,,,,,8.0,2.21,465.p.33420
Connor Clattenburg,"C,LW",EDM,777,15.45,,,,,,,,,5,1,0,1,13,3,17,3,,,,,,,3.09,465.p.31530
Nikita Tolopilo,G,VAN,778,15.40,,,,,,,,,3,,,,,,,,2,92,0.911,9,0,,5.13,465.p.30995
Egor Zamula,D,CBJ,779,15.40,,,,,,,,,15,0,1,1,4,9,2,20,,,,,,,1.03,465.p.8131
Brett Berard,LW,NYR,780,15.10,,,,,,,,,12,0,0,0,6,10,15,9,,,,,,,1.26,465.p.30120
David Jiricek,D,MIN,781,15.00,,,,,,,,,18,0,0,0,12,11,5,14,,,,,,,0.83,465.p.9274
Sergei Murashov,G,PIT,782,14.80,,,,,,,,,4,,,,,,,,1,104,0.897,12,1,2.0,3.70,465.p.30866
Cole Schwindt,RW,FLA,783,14.80,,,,,,,,,10,2,0,2,0,7,9,6,,,,,,,1.48,465.p.8359
Marshall Warren,D,NYI,784,14.60,,,,,,,,,8,0,3,3,4,7,7,5,,,,,,,1.82,465.p.32579
Dakota Mermis,D,TOR,785,14.55,,,,,,,,,11,1,0,1,11,5,8,9,,,,,,,1.32,465.p.6957
Harrison Brunicke,D,PIT,786,14.50,,,,,,,,,9,1,0,1,6,8,4,13,,,,,,,1.61,465.p.32938
Caleb Jones,D,PIT,787,14.00,,,,,,,,,7,0,1,1,0,5,10,15,,,,,,,2.00,465.p.6859
Chris Tanev,D,TOR,788,14.00,,,,,,,,,11,0,2,2,0,8,2,15,,,,,,1.0,1.27,465.p.4935
Brian Halonen,LW,NJ,789,13.85,,,,,,,,,9,1,0,1,5,4,18,2,,,,,,,1.54,465.p.9233
Alexander Kerfoot,"C,LW,RW",UTA,790,13.80,,,,,,,,,9,1,0,1,8,11,3,8,,,,,,,1.53,465.p.5840
Dennis Cholowski,D,NJ,791,13.70,,,,,,,,,15,0,1,1,2,10,3,15,,,,,,,0.91,465.p.7128
Travis Mitchell,D,NYI,792,13.70,,,,,,,,,9,1,0,1,6,4,13,6,,,,,,,1.52,465.p.30162
Nils Hoglander,LW,VAN,793,13.40,,,,,,,,,11,0,0,0,4,10,18,3,,,,,,,1.22,465.p.8318
Pierre-Olivier Joseph,D,VAN,794,13.30,,,,,,,,,14,0,1,1,2,10,5,12,,,,,,,0.95,465.p.7538
Hayden Hodgson,RW,OTT,795,13.15,,,,,,,,,9,0,0,0,11,3,23,0,,,,,,,1.46,465.p.6663
Conor Geekie,C,TB,796,13.00,,,,,,,,,6,0,1,1,4,5,15,5,,,,,,,2.17,465.p.9279
Olli Maatta,D,UTA,797,12.90,,,,,,,,,19,0,1,1,2,9,1,16,,,,,,,0.68,465.p.5702
Philip Tomasino,"C,RW",PIT,798,12.80,,,,,,,,,9,0,1,1,0,9,11,7,,,,,,,1.42,465.p.8302
Mitchell Chaffee,RW,TB,799,12.60,,,,,,,,,7,0,0,0,4,8,19,2,,,,,,,1.80,465.p.8602
Luca Del Bel Belluz,C,CBJ,800,12.20,,,,,,,,,13,0,1,1,4,11,2,10,,,,,,,0.94,465.p.9312
Maveric Lamoureux,D,UTA,801,12.10,,,,,,,,,5,0,1,1,2,4,11,9,,,,,,,2.42,465.p.9297
Drew Commesso,G,CHI,802,12.00,,,,,,,,,2,,,,,,,,1,55,0.917,5,1,,6.00,465.p.30235
Adam Boqvist,D,NYI,803,11.70,,,,,,,,,13,0,1,1,2,5,5,13,,,,,,,0.90,465.p.7906
Jordan Harris,D,BOS,804,11.40,,,,,,,,,5,1,1,2,0,9,4,3,,,,,,,2.28,465.p.7969
Olle Lycksell,RW,OTT,805,11.00,,,,,,,,,7,1,1,2,0,7,4,4,,,,,,,1.57,465.p.7683
Nikita Chibrikov,RW,WPG,806,11.00,,,,,,,,,8,0,0,0,12,5,10,5,,,,,,,1.38,465.p.31473
Zach Metsa,D,BUF,807,10.80,,,,,,,,,14,1,0,1,4,7,3,7,,,,,,,0.77,465.p.31138
Matt Murray,G,SEA,808,10.80,,,,,,,,,4,,,,,,,,0,94,0.922,8,0,1.0,2.70,465.p.5774
Florian Xhekaj,LW,MTL,809,10.55,,,,,,,,,5,0,1,1,7,4,9,4,,,,,,,2.11,465.p.30626
Angus Crookshank,LW,NJ,810,10.40,,,,,,,,,8,1,0,1,4,4,5,7,,,,,,,1.30,465.p.8023
Carl Lindbom,G,VGK,811,10.40,,,,,,,,,7,,,,,,,,1,147,0.870,22,0,5.0,1.49,465.p.30534
Zayne Parekh,D,CGY,812,10.40,,,Eichel Power,Bruce,10,128,154.9,0.9,11,0,1,1,0,11,5,5,,,,,,17.0,0.95,465.p.32773
Hunter Brzustewicz,D,CGY,813,10.40,,,,,,,,,12,0,1,1,0,12,6,3,,,,,,,0.87,465.p.30599
Jonathan Lekkerimäki,RW,VAN,814,10.20,,,,,,,,,8,1,1,2,0,4,6,3,,,,,,1.0,1.27,465.p.31592
Joona Koppanen,LW,PIT,815,10.10,,,,,,,,,10,0,1,1,2,6,9,4,,,,,,,1.01,465.p.7241
Ethan Cardwell,RW,SJ,816,9.90,,,,,,,,,7,1,0,1,2,6,9,1,,,,,,,1.41,465.p.8996
Matt Luff,RW,STL,817,9.80,,,,,,,,,5,1,0,1,0,5,8,4,,,,,,,1.96,465.p.7445
Dylan McIlrath,D,WSH,818,9.65,,,,,,,,,7,0,0,0,5,2,14,5,,,,,,,1.38,465.p.4970
Victor Soderstrom,D,BOS,819,9.60,,,,,,,,,8,0,1,1,0,8,1,10,,,,,,,1.20,465.p.8289
Dominic Toninato,C,CHI,820,9.40,,,,,,,,,5,0,1,1,4,6,10,0,,,,,,,1.88,465.p.5816
Jaroslav Chmelar,RW,NYR,821,9.35,,,,,,,,,6,0,0,0,7,3,13,3,,,,,,,1.56,465.p.30860
Sam Colangelo,RW,ANA,822,9.20,,,,,,,,,7,1,0,1,4,3,9,1,,,,,,,1.31,465.p.30969
Steven Santini,D,TB,823,8.90,,,,,,,,,9,0,1,1,2,3,7,6,,,,,,,0.99,465.p.6022
Adin Hill,G,VGK,824,8.80,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,6,83,53.7,1.0,5,,,,,,,,1,79,0.888,10,0,65.0,1.76,465.p.6818
Nicolas Aube-Kubel,RW,MIN,825,8.30,,,,,,,,,4,0,1,1,6,4,4,4,,,,,,,2.08,465.p.6417
Matvei Gridin,RW,CGY,826,8.20,,,,,,,,,4,1,0,1,0,9,1,3,,,,,,,2.05,465.p.32829
Nico Daws,G,NJ,827,8.00,,,,,,,,,1,,,,,,,,1,30,0.968,1,0,1.0,8.00,465.p.8722
Adam Engstrom,D,MTL,828,7.90,,,,,,,,,11,0,0,0,6,7,4,5,,,,,,,0.72,465.p.30869
Riley Tufte,LW,BOS,829,7.80,,,,,,,,,4,1,0,1,0,4,7,1,,,,,,,1.95,465.p.7133
Sam Morton,C,CGY,830,7.70,,,,,,,,,3,0,0,0,10,3,9,1,,,,,,,2.57,465.p.32783
Pierre-Luc Dubois,"C,LW",WSH,831,7.70,,,Eichel Power,Bruce,13,181,166.0,0.7,6,0,0,0,2,9,6,3,,,,,,15.0,1.28,465.p.7111
Jaccob Slavin,D,CAR,832,7.60,,,,,,,164.2,0.1,6,0,1,1,0,4,2,8,,,,,,5.0,1.27,465.p.5810
Hugh McGing,LW,STL,833,7.40,,,,,,,,,3,1,1,2,0,4,0,2,,,,,,,2.47,465.p.8035
Brennan Othmann,LW,NYR,834,7.35,,,,,,,,,6,0,0,0,7,5,6,3,,,,,,,1.22,465.p.8891
Tristen Nielsen,C,COL,835,7.20,,,,,,,,,4,0,1,1,0,3,9,1,,,,,,,1.80,465.p.9175
Victor Mancini,D,VAN,836,6.85,,,,,,,,,5,0,0,0,5,3,6,5,,,,,,,1.37,465.p.32644
Mason Geertsen,LW,BUF,837,6.60,,,,,,,,,5,0,0,0,12,1,8,0,,,,,,,1.32,465.p.6072
Taylor Ward,RW,LA,838,6.40,,,,,,,,,3,0,2,2,0,2,2,2,,,,,,,2.13,465.p.9227
Jack Ahcan,D,COL,839,6.40,,,,,,,,,6,0,1,1,0,2,5,4,,,,,,,1.07,465.p.8604
Cayden Primeau,G,CAR,840,6.40,,,,,,,,,3,,,,,,,,2,67,0.838,13,0,,2.13,465.p.7713
Brad Lambert,C,WPG,841,6.30,,,,,,,,,4,1,0,1,2,3,3,1,,,,,,,1.57,465.p.9298
Andre Lee,LW,LA,842,6.20,,,,,,,,,3,1,0,1,0,2,5,1,,,,,,,2.07,465.p.8465
Teddy Blueger,C,VAN,843,6.20,,,,,,,,,2,1,0,1,0,2,3,3,,,,,,,3.10,465.p.5741
Michael Callahan,D,BOS,844,6.00,,,,,,,,,5,0,0,0,0,3,3,9,,,,,,,1.20,465.p.8039
Patrik Laine,"LW,RW",MTL,845,5.70,,,Dartmouth Mustard Tigers 🌭🐅,Cameron,18,251,172.4,0.2,5,0,1,1,2,6,2,0,,,,,,7.0,1.14,465.p.7110
Matt Kiersted,D,MIN,846,5.60,,,,,,,,,4,0,1,1,0,4,0,5,,,,,,,1.40,465.p.8863
Elias Salomonsson,D,WPG,847,5.20,,,,,,,,,4,0,0,0,0,3,5,5,,,,,,,1.30,465.p.9323
Evgenii Dadonov,RW,NJ,848,5.20,,,,,,,,,5,0,0,0,0,7,2,4,,,,,,,1.04,465.p.4753
Erik Gudbranson,D,CBJ,849,5.10,,,,,,,,,4,0,0,0,6,3,5,1,,,,,,,1.27,465.p.4963
John Hayden,C,SEA,850,4.90,,,,,,,,,3,0,0,0,2,2,7,2,,,,,,,1.63,465.p.6054
Patrick Giles,C,SJ,851,4.80,,,,,,,,,3,0,1,1,0,2,3,2,,,,,,,1.60,465.p.9513
Jacob Moverare,D,LA,852,4.80,,,,,,,,,10,0,0,0,0,4,3,5,,,,,,,0.48,465.p.7219
Riley Stillman,D,EDM,853,4.80,,,,,,,,,4,0,0,0,0,1,7,4,,,,,,,1.20,465.p.7220
Taylor Makar,LW,COL,854,4.80,,,,,,,,,5,0,0,0,0,4,7,1,,,,,,,0.96,465.p.30812
Ethan Del Mastro,D,CHI,855,4.80,,,,,,,,,2,0,0,0,0,3,6,3,,,,,,,2.40,465.p.8980
Quinn Hutson,RW,EDM,856,4.60,,,,,,,,,4,1,0,1,0,3,0,1,,,,,,,1.15,465.p.32625
Xavier Parent,C,NJ,857,4.50,,,,,,,,,5,0,0,0,2,2,7,1,,,,,,,0.90,465.p.9581
Jack Devine,RW,FLA,858,4.50,,,,,,,,,6,0,0,0,2,6,4,0,,,,,,,0.75,465.p.31766
Adam Ginning,D,PHI,859,4.40,,,,,,,,,5,0,0,0,0,2,4,5,,,,,,,0.88,465.p.7948
Zack MacEwen,RW,NJ,860,4.40,,,,,,,,,3,0,0,0,0,4,6,1,,,,,,,1.47,465.p.7384
Justin Robidas,C,CAR,861,4.40,,,,,,,,,2,0,1,1,0,2,3,1,,,,,,,2.20,465.p.9022
Aleksanteri Kaskimaki,C,STL,862,4.40,,,,,,,,,5,0,0,0,0,6,2,3,,,,,,,0.88,465.p.32682
Dryden Hunt,LW,CGY,863,4.40,,,,,,,,,2,0,0,0,0,3,4,4,,,,,,,2.20,465.p.7071
Henry Thrun,D,TOR,864,4.40,,,,,,,,,4,0,0,0,0,4,3,4,,,,,,,1.10,465.p.30128
Justin Danforth,RW,BUF,865,4.10,,,,,,,,,4,0,0,0,2,2,3,4,,,,,,,1.02,465.p.8868
Kevin Korchinski,D,CHI,866,4.10,,,,,,,,,2,0,1,1,2,2,0,2,,,,,,,2.05,465.p.9275
Dysin Mayo,D,CBJ,867,4.00,,,,,,,,,2,0,1,1,0,4,0,1,,,,,,,2.00,465.p.6501
Cole McWard,D,NYI,868,4.00,,,,,,,,,3,0,0,0,0,1,4,5,,,,,,,1.33,465.p.30173
Joseph LaBate,C,VAN,869,4.00,,,,,,,,,1,0,0,0,0,2,6,2,,,,,,,4.00,465.p.5467
Ivan Ivan,C,COL,870,4.00,,,,,,,,,4,0,1,1,0,3,1,1,,,,,,,1.00,465.p.9533
Joshua Roy,RW,MTL,871,3.70,,,,,,,,,3,0,0,0,2,2,6,0,,,,,,,1.23,465.p.9025
Luca Pinelli,C,CBJ,872,3.60,,,,,,,,,3,0,0,0,0,6,2,1,,,,,,,1.20,465.p.30634
Jason Polin,RW,COL,873,3.60,,,,,,,,,2,0,0,0,0,0,7,2,,,,,,,1.80,465.p.30945
Arthur Kaliyev,RW,OTT,874,3.60,,,,,,,,,2,0,1,1,0,4,0,0,,,,,,,1.80,465.p.8311
Anton Blidh,LW,NYR,875,3.60,,,,,,,,,2,0,0,0,0,1,8,0,,,,,,,1.80,465.p.6159
Brady Martin,C,NSH,876,3.60,,,,,,,,,3,0,1,1,0,2,0,2,,,,,,1.0,1.20,465.p.33433
Kevin Rooney,C,UTA,877,3.40,,,,,,,,,1,1,0,1,0,1,0,0,,,,,,,3.40,465.p.7432
Derek Forbort,D,VAN,878,3.30,,,,,,,,,2,0,0,0,2,1,2,4,,,,,,,1.65,465.p.4975
Bokondji Imama,LW,PIT,879,3.25,,,,,,,,,2,0,0,0,5,2,3,0,,,,,,,1.62,465.p.6922
Jacob Quillan,C,TOR,880,3.20,,,,,,,,,3,0,0,0,0,1,7,0,,,,,,,1.07,465.p.32807
Matej Blumel,RW,BOS,881,3.20,,,,,,,,,4,0,0,0,0,4,2,2,,,,,,,0.80,465.p.8378
Aleksei Kolosov,G,PHI,882,3.20,,,,,,,,,1,,,,,,,,0,26,0.929,2,0,,3.20,465.p.30774
Ivan Miroshnichenko,LW,WSH,883,3.20,,,,,,,,,2,0,0,0,0,3,4,1,,,,,,,1.60,465.p.31111
Jaycob Megna,D,VGK,884,2.90,,,,,,,,,3,0,0,0,2,0,5,1,,,,,,,0.97,465.p.5899
Jett Luchanko,C,PHI,885,2.90,,,,,,,,,4,0,0,0,2,1,2,3,,,,,,,0.72,465.p.32830
Oscar Fisker Molgaard,C,SEA,886,2.80,,,,,,,,,2,0,1,1,0,1,1,0,,,,,,,1.40,465.p.30586
Maxim Groshev,D,TB,887,2.80,,,,,,,,,1,0,1,1,0,1,0,1,,,,,,,2.80,465.p.30871
Boris Katchouk,LW,TB,888,2.80,,,,,,,,,3,0,0,0,0,0,5,2,,,,,,,0.93,465.p.7152
Thomas Milic,G,WPG,889,2.80,,,,,,,,,1,,,,,,,,0,54,0.871,8,0,,2.80,465.p.9572
Ryan Johnson,D,BUF,890,2.50,,,,,,,,,3,0,0,0,2,0,2,3,,,,,,,0.83,465.p.30531
Domenick Fensore,D,CAR,891,2.40,,,,,,,,,1,0,0,0,0,2,1,3,,,,,,,2.40,465.p.30250
Jacob Gaucher,C,PHI,892,2.40,,,,,,,,,3,0,0,0,0,3,2,1,,,,,,,0.80,465.p.9500
Joakim Kemell,RW,NSH,893,2.40,,,,,,,,,2,0,0,0,0,1,4,1,,,,,,,1.20,465.p.9285
Owen Pickering,D,PIT,894,2.10,,,,,,,,,4,0,0,0,2,1,1,2,,,,,,,0.53,465.p.9289
Justin Dowling,C,NYR,895,2.00,,,,,,,,,2,0,0,0,0,1,3,1,,,,,,,1.00,465.p.6221
Andrew Agozzino,LW,UTA,896,2.00,,,,,,,,,2,0,0,0,0,0,4,1,,,,,,,1.00,465.p.6197
Rory Kerins,C,CGY,897,2.00,,,,,,,,,2,0,0,0,0,1,1,3,,,,,,,1.00,465.p.8812
Seamus Casey,D,NJ,898,2.00,,,,,,,,,2,0,0,0,0,4,0,1,,,,,,,1.00,465.p.31772
Pheonix Copley,G,TB,899,2.00,,,,,,,,,1,,,,,,,,0,25,0.893,3,0,,2.00,465.p.6337
Hunter Skinner,D,STL,900,2.00,,,,,,,,,1,0,0,0,0,0,4,1,,,,,,,2.00,465.p.8390
Sam Poulin,RW,PIT,901,2.00,,,,,,,,,2,0,0,0,0,1,2,2,,,,,,,1.00,465.p.8299
Tim Washe,C,ANA,902,1.60,,,,,,,,,2,0,0,0,0,0,3,1,,,,,,,0.80,465.p.33413
Mikael Pyyhtia,LW,CBJ,903,1.60,,,,,,,,,2,0,0,0,0,2,0,2,,,,,,,0.80,465.p.8752
Bogdan Trineyev,RW,WSH,904,1.60,,,,,,,,,2,0,0,0,0,1,1,2,,,,,,,0.80,465.p.8755
Nils Aman,C,VAN,905,1.60,,,,,,,,,2,0,0,0,0,1,2,1,,,,,,,0.80,465.p.8806
Braeden Cootes,C,VAN,906,1.60,,,,,,,,,3,0,0,0,0,0,3,1,,,,,,,0.53,465.p.33443
Erik Gustafsson,D,DET,907,1.60,,,,,,,,,1,0,0,0,0,2,1,1,,,,,,,1.60,465.p.5783
Matthew Benning,D,TOR,908,1.20,,,,,,,,,1,0,0,0,0,0,0,3,,,,,,,1.20,465.p.5864
Danil Zhilkin,C,WPG,909,1.20,,,,,,,,,2,0,0,0,0,0,1,2,,,,,,,0.60,465.p.9345
Dylan Coghlan,D,VGK,910,1.20,,,,,,,,,1,0,0,0,0,0,0,3,,,,,,,1.20,465.p.7401
