Player Name,Position,NHL Team,Fantasy Points,Current Team,Current Owner,Drafted Team,Drafted By,Draft Round,Draft Pick,ADP,Pct Drafted,Goals,Assists,Points,PIM,SOG,Hits,Blocks,Games Played,Wins,Saves,Save %,GA,Shutouts,Pct Owned
Nathan MacKinnon,C,COL,553.1,Coke Harbour Kingpins,Connor,Coke Harbour Kingpins,Connor,1,4,3.9,1.0,51.0,89.0,140.0,42.0,405.0,55.0,69.0,82.0,,,,,,100.0
Auston Matthews,C,TOR,508.4,Bettman's Babes,Cooper,Bettman's Babes,Cooper,1,5,7.7,1.0,69.0,38.0,107.0,20.0,369.0,89.0,93.0,81.0,,,,,,99.0
Brady Tkachuk,"C,LW",OTT,492.5,Ryan is Aho,Mitchell,Ryan is Aho,Mitchell,1,9,12.0,1.0,37.0,37.0,74.0,134.0,357.0,294.0,34.0,81.0,,,,,,98.0
Nikita Kucherov,RW,TB,491.9,BCs ringers,Bruce,BCs ringers,Bruce,2,13,7.8,1.0,44.0,100.0,144.0,22.0,306.0,45.0,35.0,81.0,,,,,,99.0
Connor McDavid,C,EDM,471.5,McAvoy AntiVirus,Ryan,McAvoy AntiVirus,Ryan,1,1,1.0,1.0,32.0,100.0,132.0,30.0,263.0,118.0,39.0,76.0,,,,,,99.0
David Pastrnak,RW,BOS,467.15,Miller Time,Ross,Miller Time,Ross,1,3,3.7,1.0,47.0,63.0,110.0,47.0,382.0,70.0,19.0,82.0,,,,,,99.0
Filip Forsberg,LW,NSH,459.55,Coke Harbour Kingpins,Connor,Coke Harbour Kingpins,Connor,6,69,142.5,0.75,48.0,46.0,94.0,43.0,347.0,141.0,44.0,82.0,,,,,,88.0
J.T. Miller,"C,RW",NYR,446.3,Miller Time,Ross,Miller Time,Ross,2,22,46.3,1.0,37.0,66.0,103.0,58.0,194.0,217.0,61.0,81.0,,,,,,98.0
Artemi Panarin,LW,NYR,429.4,BCs ringers,Bruce,BCs ringers,Bruce,3,36,35.1,1.0,49.0,71.0,120.0,24.0,303.0,18.0,15.0,82.0,,,,,,97.0
Mikko Rantanen,RW,DAL,411.7,Bedard Me Home,cam,Bedard Me Home,cam,1,7,9.0,1.0,42.0,62.0,104.0,50.0,271.0,53.0,49.0,80.0,,,,,,99.0
