Player Name,Position,NHL Team,Fantasy Points,Current Team,Current Owner,Drafted Team,Drafted By,Draft Round,Draft Pick,ADP,Pct Drafted,Games Played,Goals,Assists,Points,PIM,SOG,Hits,Blocks,Wins,Saves,Save %,GA,Shutouts,Pct Owned
Oliver Bjorkstrand,RW,TB,219.1,Ice Ice Baby,David,Ice Ice Baby,David,15,260,175.2,0.09,79.0,21.0,25.0,46.0,18.0,154.0,74.0,26.0,,,,,,13.0
Luke Schenn,D,WPG,218.65,66 Million Reasons,Cooper,,,,,172.9,0.05,76.0,1.0,6.0,7.0,45.0,77.0,300.0,104.0,,,,,,18.0
Brendan Gallagher,RW,MTL,217.95,DubJ,John,,,,,,,82.0,21.0,17.0,38.0,39.0,148.0,92.0,38.0,,,,,,6.0
Ridly Greig,"C,RW",OTT,217.6,Goon Cave Mommies,Kyle,,,,,,,78.0,13.0,21.0,34.0,60.0,119.0,138.0,47.0,,,,,,10.0
Pius Suter,"C,LW",STL,217.5,Stammer Time,Johnathan,,,,,,,81.0,25.0,21.0,46.0,18.0,138.0,59.0,43.0,,,,,,21.0
Devon Toews,D,COL,216.9,Dzingel Berries,Connor Koester,Dzingel Berries,Connor Koester,7,125,97.4,1.0,76.0,10.0,34.0,44.0,26.0,138.0,40.0,103.0,,,,,,80.0
Sean Couturier,C,PHI,216.85,,,,,,,,,79.0,15.0,30.0,45.0,41.0,155.0,54.0,45.0,,,,,,5.0
Claude Giroux,"C,LW,RW",OTT,216.7,Ice Ice Baby,David,Ice Ice Baby,David,8,137,159.4,0.77,81.0,15.0,35.0,50.0,18.0,138.0,64.0,41.0,,,,,,54.0
Adam Larsson,D,SEA,216.35,,,Goon Cave Mommies,Kyle,10,175,174.4,0.07,82.0,7.0,21.0,28.0,31.0,112.0,104.0,148.0,,,,,,17.0
Matty Beniers,C,SEA,215.9,William Marners,cam,Strome Alone,Ryan,15,270,170.3,0.05,82.0,20.0,23.0,43.0,14.0,147.0,42.0,77.0,,,,,,10.0
Tyler Bertuzzi,"LW,RW",CHI,215.35,Dartmouth Mustard Tigers 🌭🐅,Cameron,William Marners,cam,10,165,169.7,0.07,82.0,23.0,23.0,46.0,51.0,131.0,60.0,28.0,,,,,,10.0
Barrett Hayton,C,UTA,215.25,,,,,,,,,82.0,20.0,26.0,46.0,45.0,155.0,31.0,44.0,,,,,,10.0
Sean Monahan,C,CBJ,214.8,William Marners,cam,,,,,,,54.0,19.0,38.0,57.0,20.0,128.0,30.0,34.0,,,,,,56.0
Nick Seeler,D,PHI,214.8,,,66 Million Reasons,Cooper,16,284,,,77.0,3.0,17.0,20.0,36.0,82.0,125.0,200.0,,,,,,13.0
Shea Theodore,D,VGK,213.9,DubJ,John,DubJ,John,9,154,113.3,1.0,67.0,7.0,50.0,57.0,26.0,128.0,6.0,82.0,,,,,,87.0
Alexander Romanov,D,NYI,213.8,Rant and Roll,Bruce,Ryan is Aho,Mitchell,13,220,179.8,0.03,64.0,4.0,16.0,20.0,20.0,100.0,147.0,165.0,,,,,,28.0
Artturi Lehkonen,"LW,RW",COL,213.5,Bangers and Mash,conor,Bangers and Mash,conor,8,142,162.9,0.65,69.0,27.0,18.0,45.0,34.0,148.0,33.0,39.0,,,,,,48.0
Evan Rodrigues,"C,LW",FLA,213.3,No Ragretzky,Ross,No Ragretzky,Ross,15,267,173.7,0.06,82.0,15.0,17.0,32.0,38.0,161.0,128.0,23.0,,,,,,4.0
Josh Norris,C,BUF,213.2,,,Stammer Time,Johnathan,14,239,,,56.0,21.0,14.0,35.0,44.0,96.0,135.0,47.0,,,,,,21.0
Elias Pettersson,"C,LW",VAN,212.5,Dzingel Berries,Connor Koester,Dzingel Berries,Connor Koester,2,20,22.6,1.0,64.0,15.0,30.0,45.0,14.0,109.0,74.0,77.0,,,,,,74.0
Kirill Kaprizov,LW,MIN,212.2,Montour’s Monsters,Eric,Montour’s Monsters,Eric,1,13,13.9,1.0,41.0,25.0,31.0,56.0,16.0,145.0,16.0,17.0,,,,,,95.0
Simon Edvinsson,D,DET,212.15,Dartmouth Mustard Tigers 🌭🐅,Cameron,,,,,,,78.0,7.0,24.0,31.0,67.0,86.0,86.0,144.0,,,,,,15.0
Phillip Danault,C,LA,212.1,William Marners,cam,,,,,,,80.0,8.0,35.0,43.0,26.0,123.0,83.0,73.0,,,,,,9.0
Luke Kunin,"C,LW,RW",FLA,211.15,No Ragretzky,Ross,,,,,,,75.0,11.0,7.0,18.0,55.0,112.0,187.0,77.0,,,,,,2.0
Brayden McNabb,D,VGK,211.0,Hughes Cruise,Devon,Stammer Time,Johnathan,13,230,,,82.0,5.0,15.0,20.0,32.0,97.0,131.0,167.0,,,,,,28.0
Adam Lowry,C,WPG,210.6,Hughes Cruise,Devon,,,,,,,73.0,16.0,18.0,34.0,28.0,99.0,140.0,60.0,,,,,,11.0
Jordan Binnington,G,STL,210.4,Rant and Roll,Bruce,Rant and Roll,Bruce,9,151,102.6,1.0,,,,,,,,,28.0,1312.0,0.9004804392587509,145.0,3.0,84.0
Michael Bunting,LW,NSH,209.6,,,Goon Cave Mommies,Kyle,11,186,171.6,0.16,76.0,19.0,19.0,38.0,68.0,155.0,70.0,19.0,,,,,,7.0
Noah Hanifin,D,VGK,209.1,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,7,117,116.2,1.0,80.0,10.0,29.0,39.0,14.0,145.0,43.0,106.0,,,,,,76.0
Michael Kesselring,D,BUF,208.85,,,,,,,,,82.0,7.0,22.0,29.0,89.0,150.0,87.0,67.0,,,,,,10.0
Karel Vejmelka,G,UTA,208.8,,,,,,,172.3,0.05,,,,,,,,,26.0,1364.0,0.9039098740888005,145.0,1.0,43.0
Bowen Byram,D,BUF,208.5,No Ragretzky,Ross,No Ragretzky,Ross,11,195,168.1,0.71,82.0,7.0,31.0,38.0,46.0,94.0,75.0,116.0,,,,,,35.0
Evgeni Malkin,"C,LW",PIT,208.5,Montour’s Monsters,Eric,PENS15 Club,Brad,9,145,163.3,0.54,68.0,16.0,34.0,50.0,42.0,125.0,32.0,48.0,,,,,,42.0
Maxim Tsyplakov,"LW,RW",NYI,208.15,Hughes Cruise,Devon,,,,,,,77.0,10.0,25.0,35.0,39.0,116.0,140.0,40.0,,,,,,2.0
A.J. Greer,LW,FLA,207.7,,,,,,,,,81.0,6.0,11.0,17.0,130.0,86.0,222.0,30.0,,,,,,2.0
Ian Cole,D,UTA,207.45,,,,,,,,,82.0,1.0,16.0,17.0,77.0,66.0,106.0,211.0,,,,,,6.0
Logan Thompson,G,WSH,207.4,,,,,,,151.3,0.89,,,,,,,,,31.0,1067.0,0.9104095563139932,105.0,2.0,73.0
Lukas Dostal,G,ANA,207.4,,,,,,,173.9,0.05,,,,,,,,,23.0,1467.0,0.9027692307692308,158.0,1.0,39.0
Martin Fehervary,D,WSH,207.25,DubJ,John,Strome Alone,Ryan,17,306,,,81.0,5.0,20.0,25.0,25.0,76.0,139.0,150.0,,,,,,11.0
Braden Schneider,D,NYR,206.9,66 Million Reasons,Cooper,,,,,,,80.0,6.0,15.0,21.0,18.0,95.0,146.0,145.0,,,,,,5.0
Brady Skjei,D,NSH,206.9,Goon Cave Mommies,Kyle,Goon Cave Mommies,Kyle,9,150,134.2,1.0,82.0,10.0,23.0,33.0,42.0,156.0,52.0,93.0,,,,,,47.0
Brandon Tanev,"LW,RW",UTA,206.8,,,,,,,,,79.0,10.0,12.0,22.0,16.0,99.0,168.0,105.0,,,,,,2.0
Nick Paul,"C,LW",TB,206.7,,,Montour’s Monsters,Eric,14,240,,,76.0,22.0,19.0,41.0,30.0,141.0,66.0,31.0,,,,,,11.0
Charlie Coyle,"C,RW",CBJ,206.6,Montour’s Monsters,Eric,Papi,Nick,13,218,166.2,0.02,83.0,17.0,18.0,35.0,24.0,115.0,108.0,61.0,,,,,,9.0
Zachary Bolduc,"C,RW",MTL,205.85,66 Million Reasons,Cooper,,,,,,,72.0,19.0,17.0,36.0,37.0,120.0,108.0,36.0,,,,,,7.0
Morgan Rielly,D,TOR,205.45,Rant and Roll,Bruce,Rant and Roll,Bruce,5,79,80.3,1.0,82.0,7.0,34.0,41.0,21.0,126.0,21.0,131.0,,,,,,80.0
Logan Stankoven,"C,RW",CAR,204.5,Ryan is Aho,Mitchell,Montour’s Monsters,Eric,10,168,166.5,0.2,78.0,14.0,24.0,38.0,18.0,194.0,48.0,33.0,,,,,,26.0
Roman Josi,D,NSH,204.3,,,Strome Alone,Ryan,1,18,20.6,1.0,53.0,9.0,29.0,38.0,18.0,150.0,42.0,95.0,,,,,,87.0
Jordan Staal,C,CAR,204.2,,,,,,,,,75.0,13.0,23.0,36.0,16.0,107.0,138.0,43.0,,,,,,7.0
Kent Johnson,"C,LW,RW",CBJ,204.0,William Marners,cam,,,,,,,68.0,24.0,33.0,57.0,16.0,123.0,3.0,29.0,,,,,,23.0
Shane Pinto,C,OTT,203.9,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,16,280,,,70.0,21.0,16.0,37.0,26.0,127.0,73.0,56.0,,,,,,13.0
Niko Mikkola,D,FLA,203.9,MasterSkaters,Aj,,,,,,,76.0,6.0,16.0,22.0,70.0,116.0,137.0,88.0,,,,,,6.0
Lawson Crouse,"LW,RW",UTA,203.75,PENS15 Club,Brad,66 Million Reasons,Cooper,9,149,172.9,0.46,81.0,12.0,6.0,18.0,39.0,126.0,193.0,46.0,,,,,,11.0
Ross Colton,"C,LW",COL,203.3,,,,,,,,,61.0,16.0,13.0,29.0,18.0,125.0,145.0,42.0,,,,,,9.0
Trevor Moore,"LW,RW",LA,202.7,Ice Ice Baby,David,Ice Ice Baby,David,9,152,157.0,0.9,71.0,18.0,22.0,40.0,14.0,153.0,71.0,29.0,,,,,,29.0
Morgan Frost,C,CGY,202.7,,,66 Million Reasons,Cooper,15,257,,,81.0,14.0,23.0,37.0,22.0,144.0,69.0,60.0,,,,,,4.0
Taylor Hall,LW,CAR,202.6,Strome Alone,Ryan,,,,,179.3,0.02,77.0,18.0,24.0,42.0,36.0,144.0,43.0,42.0,,,,,,27.0
Pavel Zacha,"C,LW",BOS,201.65,Hughes Cruise,Devon,William Marners,cam,13,232,176.6,0.05,82.0,14.0,33.0,47.0,21.0,132.0,63.0,26.0,,,,,,13.0
Shayne Gostisbehere,D,CAR,201.6,Dzingel Berries,Connor Koester,Dzingel Berries,Connor Koester,11,197,148.7,0.95,70.0,7.0,38.0,45.0,52.0,122.0,41.0,66.0,,,,,,65.0
Jake Middleton,D,MIN,201.2,Rant and Roll,Bruce,Rant and Roll,Bruce,15,259,,,67.0,8.0,13.0,21.0,40.0,97.0,99.0,157.0,,,,,,20.0
Justin Faulk,D,STL,201.1,PENS15 Club,Brad,PENS15 Club,Brad,8,144,162.4,0.78,78.0,4.0,28.0,32.0,30.0,124.0,82.0,108.0,,,,,,34.0
Teuvo Teravainen,"LW,RW",CHI,200.8,Dzingel Berries,Connor Koester,Dzingel Berries,Connor Koester,13,233,170.8,0.26,82.0,15.0,43.0,58.0,12.0,111.0,27.0,29.0,,,,,,20.0
Brandon Duhaime,RW,WSH,200.7,,,,,,,,,82.0,9.0,12.0,21.0,98.0,83.0,165.0,65.0,,,,,,1.0
Owen Power,D,BUF,200.6,Ice Ice Baby,David,Ice Ice Baby,David,13,224,171.6,0.32,79.0,7.0,33.0,40.0,16.0,139.0,26.0,109.0,,,,,,27.0
Nic Dowd,C,WSH,200.4,,,,,,,,,82.0,14.0,13.0,27.0,56.0,86.0,128.0,82.0,,,,,,3.0
Casey Cizikas,"C,LW",NYI,199.75,,,,,,,,,82.0,7.0,10.0,17.0,51.0,97.0,202.0,66.0,,,,,,2.0
Ryan Strome,"C,LW",ANA,199.5,,,,,,,,,82.0,10.0,31.0,41.0,70.0,137.0,52.0,36.0,,,,,,5.0
Connor Clifton,D,PIT,199.05,MasterSkaters,Aj,Bangers and Mash,conor,16,286,,,73.0,1.0,15.0,16.0,45.0,63.0,208.0,116.0,,,,,,14.0
Oliver Ekman-Larsson,D,TOR,198.6,Goon Cave Mommies,Kyle,Goon Cave Mommies,Kyle,15,258,174.2,0.22,77.0,4.0,25.0,29.0,52.0,118.0,108.0,83.0,,,,,,21.0
Ben Chiarot,D,DET,198.45,Stammer Time,Johnathan,Ryan is Aho,Mitchell,14,249,,,81.0,4.0,9.0,13.0,69.0,109.0,127.0,142.0,,,,,,5.0
Linus Ullmark,G,OTT,198.4,Stammer Time,Johnathan,Stammer Time,Johnathan,6,95,78.3,1.0,,,,,,,,,25.0,1117.0,0.9088689991863304,112.0,4.0,89.0
Anthony Beauvillier,LW,WSH,198.1,,,,,,,,,81.0,15.0,10.0,25.0,14.0,149.0,139.0,36.0,,,,,,2.0
Mackie Samoskevich,RW,FLA,198.0,Montour’s Monsters,Eric,,,,,,,72.0,15.0,16.0,31.0,12.0,129.0,134.0,32.0,,,,,,15.0
Kevin Lankinen,G,VAN,197.6,Dzingel Berries,Connor Koester,,,,,173.4,0.07,,,,,,,,,25.0,1213.0,0.9018587360594795,132.0,4.0,49.0
Connor Murphy,D,CHI,197.4,,,,,,,,,68.0,2.0,17.0,19.0,52.0,84.0,117.0,160.0,,,,,,6.0
K'Andre Miller,D,CAR,197.3,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,10,172,174.6,0.15,74.0,7.0,20.0,27.0,22.0,110.0,107.0,110.0,,,,,,8.0
Kaapo Kakko,RW,SEA,196.7,,,,,,,,,79.0,14.0,30.0,44.0,38.0,117.0,68.0,28.0,,,,,,5.0
Eetu Luostarinen,"C,LW",FLA,196.0,,,,,,,,,80.0,9.0,15.0,24.0,28.0,87.0,183.0,60.0,,,,,,1.0
Ryan Pulock,D,NYI,195.8,,,,,,,,,74.0,5.0,18.0,23.0,16.0,97.0,100.0,155.0,,,,,,6.0
Vince Dunn,D,SEA,195.25,No Ragretzky,Ross,No Ragretzky,Ross,7,123,109.2,1.0,62.0,11.0,28.0,39.0,33.0,137.0,29.0,79.0,,,,,,71.0
Alex Pietrangelo,D,VGK,195.2,Stammer Time,Johnathan,Stammer Time,Johnathan,8,131,142.2,1.0,71.0,4.0,29.0,33.0,16.0,123.0,41.0,139.0,,,,,,65.0
Alex Vlasic,D,CHI,194.6,William Marners,cam,,,,,,,82.0,4.0,26.0,30.0,12.0,103.0,59.0,157.0,,,,,,8.0
Mattias Ekholm,D,EDM,194.5,Rant and Roll,Bruce,Rant and Roll,Bruce,10,174,110.7,1.0,65.0,9.0,24.0,33.0,30.0,143.0,42.0,95.0,,,,,,59.0
Shane Wright,"C,RW",SEA,194.3,,,,,,,,,79.0,19.0,25.0,44.0,18.0,91.0,54.0,62.0,,,,,,7.0
Alex Killorn,"C,LW,RW",ANA,194.1,,,Ryan is Aho,Mitchell,16,285,,,82.0,19.0,18.0,37.0,30.0,134.0,77.0,23.0,,,,,,3.0
Joseph Woll,G,TOR,194.0,,,Ryan is Aho,Mitchell,7,112,94.7,1.0,,,,,,,,,27.0,1105.0,0.9087171052631579,111.0,1.0,75.0
Noah Cates,"C,LW",PHI,193.9,,,,,,,,,78.0,16.0,21.0,37.0,14.0,110.0,87.0,54.0,,,,,,2.0
Mario Ferraro,D,SJ,193.85,Ice Ice Baby,David,William Marners,cam,15,268,,,78.0,5.0,12.0,17.0,53.0,79.0,150.0,125.0,,,,,,2.0
Mikael Backlund,"C,LW",CGY,193.8,,,,,,,173.0,0.02,76.0,15.0,17.0,32.0,32.0,175.0,41.0,51.0,,,,,,9.0
Yakov Trenin,C,MIN,193.7,,,,,,,,,76.0,7.0,8.0,15.0,54.0,85.0,241.0,32.0,,,,,,1.0
Alexandre Carrier,D,MTL,193.4,PENS15 Club,Brad,,,,,,,79.0,3.0,22.0,25.0,40.0,82.0,75.0,169.0,,,,,,4.0
Jeremy Swayman,G,BOS,193.2,66 Million Reasons,Cooper,66 Million Reasons,Cooper,2,32,32.6,1.0,,,,,,,,,22.0,1456.0,0.8921568627450981,176.0,4.0,87.0
Jake Evans,C,MTL,193.1,,,,,,,,,82.0,13.0,23.0,36.0,10.0,80.0,124.0,60.0,,,,,,4.0
Vladislav Gavrikov,D,NYR,192.8,,,,,,,,,82.0,5.0,25.0,30.0,28.0,112.0,50.0,140.0,,,,,,11.0
Bobby Brink,RW,PHI,192.7,,,,,,,,,79.0,12.0,29.0,41.0,22.0,105.0,98.0,30.0,,,,,,1.0
Alexey Toropchenko,RW,STL,192.65,,,,,,,,,80.0,4.0,14.0,18.0,25.0,90.0,223.0,53.0,,,,,,2.0
Brandt Clarke,D,LA,192.5,,,William Marners,cam,12,201,172.5,0.26,78.0,5.0,28.0,33.0,46.0,131.0,23.0,121.0,,,,,,27.0
Tyler Myers,D,VAN,192.1,William Marners,cam,Rant and Roll,Bruce,17,295,,,71.0,6.0,18.0,24.0,74.0,87.0,87.0,125.0,,,,,,4.0
Dawson Mercer,"C,RW",NJ,191.8,William Marners,cam,,,,,183.8,0.05,82.0,19.0,17.0,36.0,16.0,141.0,41.0,60.0,,,,,,7.0
Mikey Anderson,D,LA,191.8,Montour’s Monsters,Eric,,,,,,,77.0,6.0,18.0,24.0,28.0,84.0,119.0,124.0,,,,,,8.0
Marcus Pettersson,D,VAN,190.85,PENS15 Club,Brad,PENS15 Club,Brad,16,288,,,78.0,4.0,25.0,29.0,45.0,70.0,80.0,144.0,,,,,,9.0
Elvis Merzlikins,G,CBJ,190.8,,,,,,,,,,,,,,,,,26.0,1389.0,0.8921001926782274,168.0,1.0,27.0
Chris Kreider,LW,ANA,190.8,Rant and Roll,Bruce,Rant and Roll,Bruce,3,43,40.3,1.0,68.0,22.0,8.0,30.0,24.0,152.0,79.0,26.0,,,,,,60.0
Jordan Martinook,LW,CAR,190.7,,,,,,,,,79.0,15.0,21.0,36.0,18.0,112.0,84.0,52.0,,,,,,1.0
Dante Fabbro,D,CBJ,190.6,Strome Alone,Ryan,,,,,,,68.0,9.0,17.0,26.0,40.0,89.0,67.0,143.0,,,,,,9.0
Ryan Hartman,"C,RW",MIN,190.55,,,Dartmouth Mustard Tigers 🌭🐅,Cameron,14,244,170.1,0.03,69.0,11.0,15.0,26.0,75.0,158.0,73.0,41.0,,,,,,10.0
Juuse Saros,G,NSH,190.0,Hughes Cruise,Devon,Hughes Cruise,Devon,3,48,27.1,1.0,,,,,,,,,20.0,1425.0,0.8951005025125628,167.0,4.0,85.0
Ryan McLeod,C,BUF,189.6,Rant and Roll,Bruce,,,,,,,79.0,20.0,33.0,53.0,16.0,97.0,17.0,35.0,,,,,,14.0
Brenden Dillon,D,NJ,189.55,,,66 Million Reasons,Cooper,13,221,173.7,0.25,82.0,2.0,14.0,16.0,67.0,48.0,191.0,108.0,,,,,,10.0
Mark Kastelic,"C,RW",BOS,189.1,,,,,,,,,61.0,5.0,9.0,14.0,106.0,67.0,218.0,39.0,,,,,,3.0
Jake McCabe,D,TOR,188.8,No Ragretzky,Ross,No Ragretzky,Ross,12,202,176.6,0.18,66.0,2.0,21.0,23.0,40.0,74.0,118.0,135.0,,,,,,13.0
Esa Lindell,D,DAL,188.1,,,,,,,,,80.0,5.0,21.0,26.0,14.0,99.0,50.0,170.0,,,,,,24.0
Jacob Markstrom,G,NJ,187.6,Montour’s Monsters,Eric,Montour’s Monsters,Eric,4,60,55.4,1.0,,,,,,,,,26.0,1093.0,0.9003294892915981,121.0,4.0,85.0
Joel Farabee,"LW,RW",CGY,187.5,Hughes Cruise,Devon,Hughes Cruise,Devon,12,205,175.2,0.03,81.0,11.0,14.0,25.0,34.0,151.0,94.0,50.0,,,,,,5.0
Vladislav Namestnikov,"C,LW",WPG,187.3,,,,,,,,,78.0,11.0,27.0,38.0,38.0,94.0,84.0,49.0,,,,,,6.0
Cody Ceci,D,LA,186.4,,,,,,,,,85.0,4.0,20.0,24.0,24.0,90.0,76.0,155.0,,,,,,2.0
Stuart Skinner,G,EDM,186.4,Bangers and Mash,conor,Bangers and Mash,conor,4,70,48.4,1.0,,,,,,,,,26.0,1187.0,0.8958490566037736,138.0,3.0,77.0
Aaron Ekblad,D,FLA,186.25,,,William Marners,cam,8,129,126.1,0.98,56.0,3.0,30.0,33.0,53.0,106.0,90.0,64.0,,,,,,22.0
Reilly Smith,RW,VGK,186.2,,,Hughes Cruise,Devon,14,241,170.3,0.05,79.0,13.0,27.0,40.0,24.0,129.0,48.0,41.0,,,,,,4.0
Rasmus Sandin,D,WSH,186.15,Papi,Nick,,,,,,,82.0,4.0,26.0,30.0,23.0,78.0,91.0,122.0,,,,,,10.0
Jared Spurgeon,D,MIN,186.1,,,,,,,175.5,0.04,66.0,7.0,25.0,32.0,14.0,107.0,53.0,119.0,,,,,,23.0
Parker Kelly,LW,COL,186.05,,,,,,,,,80.0,8.0,11.0,19.0,29.0,99.0,161.0,72.0,,,,,,
Erik Cernak,D,TB,185.5,,,Dartmouth Mustard Tigers 🌭🐅,Cameron,17,297,,,76.0,3.0,18.0,21.0,50.0,64.0,157.0,99.0,,,,,,8.0
Ondrej Palat,LW,NJ,185.2,,,,,,,,,77.0,15.0,13.0,28.0,12.0,96.0,124.0,58.0,,,,,,1.0
Evgenii Dadonov,RW,NJ,184.9,,,,,,,,,80.0,20.0,20.0,40.0,10.0,123.0,44.0,39.0,,,,,,2.0
Brent Burns,D,COL,184.2,William Marners,cam,William Marners,cam,9,160,115.1,1.0,82.0,6.0,23.0,29.0,28.0,174.0,11.0,98.0,,,,,,59.0
Brock Faber,D,MIN,183.75,Hughes Cruise,Devon,Hughes Cruise,Devon,7,120,99.4,1.0,78.0,10.0,19.0,29.0,23.0,124.0,36.0,115.0,,,,,,67.0
Jesper Boqvist,C,FLA,183.5,,,,,,,,,78.0,12.0,11.0,23.0,14.0,87.0,191.0,27.0,,,,,,
Chandler Stephenson,C,SEA,183.4,No Ragretzky,Ross,No Ragretzky,Ross,17,303,,,78.0,13.0,38.0,51.0,24.0,73.0,33.0,50.0,,,,,,9.0
Simon Holmstrom,RW,NYI,183.2,,,,,,,,,75.0,20.0,25.0,45.0,8.0,96.0,27.0,55.0,,,,,,3.0
Leo Carlsson,C,ANA,183.1,Ryan is Aho,Mitchell,MasterSkaters,Aj,15,263,169.8,0.03,76.0,20.0,25.0,45.0,14.0,114.0,24.0,36.0,,,,,,17.0
Ivan Provorov,D,CBJ,182.75,Bangers and Mash,conor,,,,,,,82.0,7.0,26.0,33.0,31.0,100.0,28.0,127.0,,,,,,10.0
Zach Aston-Reese,C,CBJ,181.95,,,,,,,,,79.0,6.0,11.0,17.0,27.0,101.0,179.0,58.0,,,,,,
Matt Roy,D,WSH,181.65,Papi,Nick,Papi,Nick,10,179,172.4,0.06,69.0,3.0,21.0,24.0,25.0,84.0,114.0,113.0,,,,,,14.0
Cole Sillinger,"C,RW",CBJ,181.35,,,,,,,,,66.0,11.0,22.0,33.0,35.0,129.0,74.0,36.0,,,,,,2.0
Frederick Gaudreau,C,SEA,181.2,,,,,,,,,82.0,18.0,19.0,37.0,8.0,110.0,47.0,61.0,,,,,,2.0
Simon Benoit,D,TOR,180.95,,,William Marners,cam,17,304,181.2,0.03,78.0,1.0,9.0,10.0,59.0,48.0,204.0,111.0,,,,,,5.0
Anthony Stolarz,G,TOR,180.8,66 Million Reasons,Cooper,66 Million Reasons,Cooper,14,248,116.4,0.96,,,,,,,,,21.0,884.0,0.9256544502617801,71.0,4.0,68.0
Joel Eriksson Ek,C,MIN,180.7,Stammer Time,Johnathan,No Ragretzky,Ross,3,51,69.4,1.0,46.0,14.0,15.0,29.0,22.0,140.0,82.0,36.0,,,,,,60.0
Steven Lorentz,"C,LW",TOR,180.25,,,,,,,,,80.0,8.0,11.0,19.0,9.0,76.0,199.0,55.0,,,,,,
Matt Grzelcyk,D,CHI,180.2,,,,,,,,,82.0,1.0,39.0,40.0,16.0,94.0,43.0,101.0,,,,,,7.0
Peyton Krebs,C,BUF,180.2,,,,,,,,,81.0,10.0,18.0,28.0,60.0,80.0,136.0,32.0,,,,,,1.0
Eric Robinson,LW,CAR,180.1,,,,,,,,,82.0,14.0,18.0,32.0,10.0,110.0,123.0,16.0,,,,,,1.0
Dylan DeMelo,D,WPG,180.1,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,15,261,173.0,0.13,82.0,3.0,16.0,19.0,38.0,75.0,137.0,112.0,,,,,,8.0
Filip Hronek,D,VAN,179.8,Ryan is Aho,Mitchell,Papi,Nick,11,182,133.5,1.0,61.0,5.0,28.0,33.0,40.0,83.0,89.0,75.0,,,,,,48.0
Dmitry Orlov,D,SJ,179.2,Bangers and Mash,conor,MasterSkaters,Aj,14,242,176.2,0.11,76.0,6.0,22.0,28.0,24.0,117.0,101.0,60.0,,,,,,12.0
Luke Hughes,D,NJ,179.0,Strome Alone,Ryan,Montour’s Monsters,Eric,12,204,143.9,0.92,71.0,7.0,37.0,44.0,16.0,121.0,19.0,60.0,,,,,,58.0
Michael Rasmussen,"C,LW",DET,178.6,,,,,,,,,77.0,11.0,10.0,21.0,24.0,99.0,141.0,59.0,,,,,,1.0
Sean Walker,D,CAR,178.5,Stammer Time,Johnathan,MasterSkaters,Aj,13,227,172.7,0.13,82.0,5.0,11.0,16.0,46.0,144.0,91.0,90.0,,,,,,7.0
Nicolas Roy,"C,RW",TOR,178.15,,,,,,,,,71.0,15.0,16.0,31.0,43.0,107.0,72.0,47.0,,,,,,2.0
Ryker Evans,D,SEA,177.7,No Ragretzky,Ross,,,,,,,73.0,5.0,20.0,25.0,30.0,59.0,123.0,106.0,,,,,,4.0
Tanner Jeannot,"LW,RW",BOS,176.85,,,Rant and Roll,Bruce,8,138,169.3,0.34,67.0,7.0,6.0,13.0,89.0,56.0,211.0,37.0,,,,,,6.0
Pyotr Kochetkov,G,CAR,176.2,Papi,Nick,MasterSkaters,Aj,12,206,92.4,1.0,,,,,,,,,27.0,1051.0,0.8967576791808873,121.0,2.0,73.0
Noel Acciari,"C,RW",PIT,175.0,,,,,,,,,79.0,5.0,7.0,12.0,16.0,75.0,180.0,100.0,,,,,,1.0
Will Smith,"C,RW",SJ,174.9,Dzingel Berries,Connor Koester,MasterSkaters,Aj,17,299,169.8,0.04,74.0,18.0,27.0,45.0,18.0,127.0,13.0,16.0,,,,,,22.0
Kevin Bahl,D,CGY,174.55,,,,,,,,,73.0,3.0,17.0,20.0,35.0,82.0,109.0,116.0,,,,,,1.0
Michael McCarron,"C,RW",NSH,174.5,,,,,,,,,74.0,5.0,9.0,14.0,102.0,80.0,149.0,61.0,,,,,,2.0
Jesperi Kotkaniemi,C,CAR,174.1,,,,,,,,,78.0,12.0,21.0,33.0,50.0,115.0,66.0,28.0,,,,,,2.0
Brett Kulak,D,EDM,173.9,,,,,,,,,82.0,7.0,18.0,25.0,18.0,135.0,28.0,118.0,,,,,,1.0
Will Borgen,D,NYR,173.5,,,,,,,,,84.0,5.0,10.0,15.0,42.0,81.0,122.0,117.0,,,,,,3.0
Kaiden Guhle,D,MTL,173.35,Strome Alone,Ryan,DubJ,John,12,207,,,55.0,6.0,12.0,18.0,47.0,71.0,104.0,124.0,,,,,,17.0
Ukko-Pekka Luukkonen,G,BUF,173.2,Dzingel Berries,Connor Koester,Dzingel Berries,Connor Koester,10,164,90.9,1.0,,,,,,,,,24.0,1321.0,0.8865771812080537,169.0,2.0,60.0
Cam Talbot,G,DET,173.2,PENS15 Club,Brad,,,,,156.5,0.85,,,,,,,,,21.0,1166.0,0.9003861003861003,129.0,2.0,48.0
Jack Roslovic,"C,RW",EDM,172.9,,,,,,,,,81.0,22.0,17.0,39.0,10.0,139.0,14.0,23.0,,,,,,3.0
