Player Name,Position,NHL Team,Fantasy Points,Current Team,Current Owner,Drafted Team,Drafted By,Draft Round,Draft Pick,ADP,Pct Drafted,Games Played,Goals,Assists,Points,PIM,SOG,Hits,Blocks,Wins,Saves,Save %,GA,Shutouts,Pct Owned
Fabian Zetterlund,"LW,RW",OTT,270.9,Stammer Time,Johnathan,Stammer Time,Johnathan,11,194,,,84.0,19.0,22.0,41.0,14.0,181.0,154.0,81.0,,,,,,20.0
Andrei Svechnikov,"LW,RW",CAR,270.75,66 Million Reasons,Cooper,66 Million Reasons,Cooper,3,41,47.1,1.0,72.0,20.0,28.0,48.0,59.0,180.0,148.0,22.0,,,,,,78.0
Robert Thomas,C,STL,270.4,Dzingel Berries,Connor Koester,Dzingel Berries,Connor Koester,6,92,114.0,1.0,70.0,21.0,60.0,81.0,20.0,145.0,13.0,48.0,,,,,,78.0
Tyler Toffoli,"LW,RW",SJ,269.1,Strome Alone,Ryan,Strome Alone,Ryan,9,162,166.3,0.71,78.0,30.0,24.0,54.0,14.0,233.0,54.0,32.0,,,,,,38.0
Jake Neighbours,"LW,RW",STL,268.4,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,11,189,173.2,0.24,82.0,22.0,24.0,46.0,56.0,122.0,173.0,56.0,,,,,,23.0
Morgan Geekie,"C,LW,RW",BOS,268.1,Papi,Nick,Montour’s Monsters,Eric,17,301,,,77.0,33.0,24.0,57.0,22.0,150.0,110.0,29.0,,,,,,39.0
Jared McCann,"C,LW",SEA,268.1,,,Strome Alone,Ryan,8,127,154.7,0.95,82.0,22.0,39.0,61.0,18.0,202.0,47.0,50.0,,,,,,58.0
Logan Cooley,C,UTA,267.7,Dzingel Berries,Connor Koester,Dzingel Berries,Connor Koester,12,200,161.4,0.32,75.0,25.0,40.0,65.0,46.0,158.0,63.0,32.0,,,,,,42.0
Jonathan Huberdeau,"C,LW",CGY,267.3,DubJ,John,DubJ,John,13,226,172.7,0.13,81.0,28.0,34.0,62.0,34.0,153.0,50.0,64.0,,,,,,54.0
Radko Gudas,D,ANA,265.7,66 Million Reasons,Cooper,66 Million Reasons,Cooper,7,113,164.7,0.7,81.0,1.0,15.0,16.0,86.0,89.0,261.0,178.0,,,,,,35.0
Jonathan Marchessault,RW,NSH,265.45,No Ragretzky,Ross,No Ragretzky,Ross,5,87,81.7,1.0,78.0,21.0,35.0,56.0,37.0,206.0,77.0,25.0,,,,,,66.0
Brad Marchand,LW,FLA,264.6,Bangers and Mash,conor,Bangers and Mash,conor,5,75,73.1,1.0,71.0,23.0,28.0,51.0,64.0,194.0,81.0,34.0,,,,,,80.0
Matvei Michkov,RW,PHI,264.3,Strome Alone,Ryan,Strome Alone,Ryan,10,163,137.3,0.95,80.0,26.0,37.0,63.0,46.0,200.0,29.0,23.0,,,,,,51.0
Mikhail Sergachev,D,UTA,262.2,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,6,100,86.4,1.0,77.0,15.0,38.0,53.0,32.0,132.0,61.0,140.0,,,,,,91.0
Jake Oettinger,G,DAL,259.8,No Ragretzky,Ross,No Ragretzky,Ross,4,58,29.4,1.0,,,,,,,,,36.0,1464.0,0.9087523277467412,147.0,2.0,99.0
Steven Stamkos,"C,LW,RW",NSH,259.4,Stammer Time,Johnathan,Stammer Time,Johnathan,2,23,40.0,1.0,82.0,27.0,26.0,53.0,48.0,174.0,66.0,46.0,,,,,,83.0
JJ Peterka,"LW,RW",UTA,259.1,Dzingel Berries,Connor Koester,Dzingel Berries,Connor Koester,8,128,155.1,0.74,77.0,27.0,41.0,68.0,34.0,173.0,30.0,16.0,,,,,,61.0
Jack McBain,"C,LW",UTA,258.9,Bangers and Mash,conor,,,,,,,82.0,13.0,14.0,27.0,78.0,90.0,291.0,50.0,,,,,,8.0
Mika Zibanejad,"C,RW",NYR,258.7,Hughes Cruise,Devon,Hughes Cruise,Devon,4,61,61.1,1.0,82.0,20.0,42.0,62.0,22.0,183.0,44.0,46.0,,,,,,74.0
Thomas Chabot,D,OTT,257.8,No Ragretzky,Ross,No Ragretzky,Ross,10,166,165.1,0.81,80.0,9.0,36.0,45.0,24.0,179.0,58.0,145.0,,,,,,77.0
Jakob Chychrun,D,WSH,257.0,MasterSkaters,Aj,MasterSkaters,Aj,7,119,142.1,1.0,74.0,20.0,27.0,47.0,52.0,179.0,59.0,87.0,,,,,,88.0
Nikita Zadorov,D,BOS,256.65,PENS15 Club,Brad,PENS15 Club,Brad,12,216,171.1,0.08,81.0,4.0,18.0,22.0,145.0,105.0,219.0,107.0,,,,,,27.0
Owen Tippett,"LW,RW",PHI,256.4,Papi,Nick,Papi,Nick,5,74,77.1,1.0,77.0,20.0,23.0,43.0,16.0,188.0,115.0,63.0,,,,,,59.0
Anthony Cirelli,C,TB,254.8,Papi,Nick,,,,,,,80.0,27.0,32.0,59.0,28.0,160.0,25.0,72.0,,,,,,43.0
Stefan Noesen,"LW,RW",NJ,254.7,MasterSkaters,Aj,,,,,,,78.0,22.0,19.0,41.0,54.0,165.0,152.0,26.0,,,,,,22.0
Jake DeBrusk,"LW,RW",VAN,254.5,Dartmouth Mustard Tigers 🌭🐅,Cameron,Dartmouth Mustard Tigers 🌭🐅,Cameron,8,136,140.6,0.97,82.0,28.0,20.0,48.0,18.0,171.0,96.0,48.0,,,,,,37.0
Adam Fox,D,NYR,253.2,Bangers and Mash,conor,Bangers and Mash,conor,3,39,36.5,1.0,74.0,10.0,51.0,61.0,32.0,135.0,40.0,108.0,,,,,,97.0
Connor McMichael,"C,LW",WSH,253.05,Bangers and Mash,conor,,,,,,,82.0,26.0,31.0,57.0,49.0,177.0,39.0,36.0,,,,,,48.0
Elias Lindholm,C,BOS,252.5,Rant and Roll,Bruce,Papi,Nick,9,146,135.5,0.97,82.0,17.0,30.0,47.0,14.0,152.0,114.0,79.0,,,,,,31.0
Nikolaj Ehlers,"LW,RW",CAR,252.25,Bangers and Mash,conor,Bangers and Mash,conor,7,111,126.4,0.99,69.0,24.0,39.0,63.0,17.0,174.0,38.0,33.0,,,,,,81.0
Alex Laferriere,RW,LA,252.0,Strome Alone,Ryan,,,,,,,77.0,19.0,23.0,42.0,20.0,193.0,124.0,43.0,,,,,,19.0
Ilya Sorokin,G,NYI,251.4,Goon Cave Mommies,Kyle,Goon Cave Mommies,Kyle,6,103,59.1,1.0,,,,,,,,,30.0,1537.0,0.9067846607669616,158.0,4.0,90.0
Martin Pospisil,"C,RW",CGY,251.4,Rant and Roll,Bruce,Stammer Time,Johnathan,12,203,169.7,0.19,81.0,4.0,21.0,25.0,84.0,114.0,301.0,26.0,,,,,,14.0
John Carlson,D,WSH,251.3,Montour’s Monsters,Eric,Montour’s Monsters,Eric,6,96,103.9,1.0,79.0,5.0,46.0,51.0,22.0,167.0,49.0,131.0,,,,,,93.0
Brock Nelson,C,COL,250.9,Ice Ice Baby,David,Ice Ice Baby,David,6,101,149.0,0.89,80.0,26.0,30.0,56.0,18.0,193.0,35.0,43.0,,,,,,61.0
Quinton Byfield,"C,LW,RW",LA,250.5,Ryan is Aho,Mitchell,Stammer Time,Johnathan,7,122,153.2,0.9,81.0,23.0,31.0,54.0,46.0,157.0,80.0,33.0,,,,,,62.0
Matthew Tkachuk,"LW,RW",FLA,250.3,,,DubJ,John,1,10,11.0,1.0,52.0,22.0,35.0,57.0,54.0,156.0,84.0,12.0,,,,,,82.0
Jamie Benn,"C,LW",DAL,249.5,No Ragretzky,Ross,No Ragretzky,Ross,9,159,158.8,0.86,80.0,16.0,33.0,49.0,70.0,136.0,114.0,45.0,,,,,,51.0
Igor Shesterkin,G,NYR,248.8,Bangers and Mash,conor,Bangers and Mash,conor,2,34,17.3,1.0,,,,,,,,,27.0,1584.0,0.9046259280411194,167.0,6.0,96.0
Lane Hutson,D,MTL,248.1,Dzingel Berries,Connor Koester,Dzingel Berries,Connor Koester,9,161,170.3,0.48,82.0,6.0,60.0,66.0,34.0,91.0,40.0,123.0,,,,,,83.0
Marcus Foligno,"LW,RW",MIN,247.95,Bangers and Mash,conor,66 Million Reasons,Cooper,17,293,176.6,0.02,77.0,14.0,15.0,29.0,75.0,91.0,253.0,49.0,,,,,,11.0
Mason McTavish,C,ANA,247.9,DubJ,John,Hughes Cruise,Devon,11,192,171.2,0.03,76.0,22.0,30.0,52.0,38.0,180.0,70.0,31.0,,,,,,32.0
Erik Karlsson,D,PIT,247.6,Hughes Cruise,Devon,Hughes Cruise,Devon,6,97,92.9,1.0,82.0,11.0,42.0,53.0,20.0,191.0,29.0,94.0,,,,,,90.0
Nick Schmaltz,"C,RW",UTA,247.5,,,Strome Alone,Ryan,14,235,173.0,0.15,82.0,20.0,43.0,63.0,14.0,186.0,14.0,45.0,,,,,,29.0
Warren Foegele,"LW,RW",LA,247.2,No Ragretzky,Ross,No Ragretzky,Ross,16,274,,,82.0,24.0,22.0,46.0,24.0,199.0,74.0,40.0,,,,,,23.0
Noah Dobson,D,MTL,246.6,Strome Alone,Ryan,Strome Alone,Ryan,4,55,57.0,1.0,71.0,10.0,29.0,39.0,28.0,196.0,57.0,126.0,,,,,,94.0
Marco Rossi,C,MIN,246.1,Ice Ice Baby,David,Ice Ice Baby,David,17,296,,,82.0,24.0,36.0,60.0,26.0,136.0,62.0,41.0,,,,,,32.0
Rasmus Andersson,D,CGY,246.0,DubJ,John,DubJ,John,10,171,142.4,0.68,81.0,11.0,20.0,31.0,60.0,163.0,36.0,196.0,,,,,,70.0
Thomas Harley,D,DAL,245.6,Ryan is Aho,Mitchell,Ryan is Aho,Mitchell,9,148,120.1,1.0,78.0,16.0,34.0,50.0,16.0,171.0,33.0,110.0,,,,,,89.0
Anton Lundell,"C,RW",FLA,244.8,Rant and Roll,Bruce,Rant and Roll,Bruce,16,282,155.4,0.02,79.0,17.0,28.0,45.0,36.0,158.0,110.0,54.0,,,,,,28.0
Aliaksei Protas,"C,LW",WSH,244.5,William Marners,cam,,,,,,,76.0,30.0,36.0,66.0,18.0,142.0,20.0,33.0,,,,,,42.0
Jake Walman,D,EDM,243.9,DubJ,John,DubJ,John,14,243,170.6,0.04,65.0,7.0,33.0,40.0,42.0,164.0,57.0,145.0,,,,,,55.0
Conor Garland,RW,VAN,243.2,William Marners,cam,,,,,178.5,0.02,81.0,19.0,31.0,50.0,52.0,171.0,49.0,58.0,,,,,,28.0
Jaden Schwartz,"C,LW",SEA,241.6,,,,,,,,,81.0,26.0,23.0,49.0,24.0,194.0,43.0,42.0,,,,,,8.0
Darcy Kuemper,G,LA,241.4,Hughes Cruise,Devon,Hughes Cruise,Devon,9,156,110.7,1.0,,,,,,,,,31.0,1167.0,0.9210734017363852,100.0,5.0,84.0
Sam Montembeault,G,MTL,241.4,MasterSkaters,Aj,William Marners,cam,16,273,160.5,0.28,,,,,,,,,31.0,1512.0,0.901072705601907,166.0,4.0,72.0
Mackenzie Blackwood,G,COL,241.4,MasterSkaters,Aj,,,,,,,,,,,,,,,28.0,1412.0,0.9115558424790188,137.0,4.0,70.0
Marco Kasper,"C,LW",DET,241.1,66 Million Reasons,Cooper,,,,,,,77.0,19.0,18.0,37.0,34.0,145.0,156.0,48.0,,,,,,20.0
William Eklund,LW,SJ,240.65,Goon Cave Mommies,Kyle,MasterSkaters,Aj,16,278,173.5,0.03,77.0,17.0,41.0,58.0,29.0,151.0,54.0,46.0,,,,,,20.0
Zach Hyman,"LW,RW",EDM,240.2,,,DubJ,John,2,27,22.6,1.0,73.0,27.0,17.0,44.0,32.0,210.0,59.0,24.0,,,,,,87.0
Jackson LaCombe,D,ANA,239.8,Stammer Time,Johnathan,,,,,,,75.0,14.0,29.0,43.0,28.0,134.0,69.0,129.0,,,,,,56.0
Dmitri Voronkov,LW,CBJ,239.55,Ryan is Aho,Mitchell,Ryan is Aho,Mitchell,17,292,,,73.0,23.0,24.0,47.0,55.0,154.0,71.0,47.0,,,,,,20.0
Jacob Trouba,D,ANA,238.7,Stammer Time,Johnathan,Ryan is Aho,Mitchell,6,105,168.3,0.67,77.0,1.0,13.0,14.0,66.0,111.0,164.0,208.0,,,,,,32.0
