Player Name,Position,NHL Team,Fantasy Points,Current Team,Current Owner,Drafted Team,Drafted By,Draft Round,Draft Pick,ADP,Pct Drafted,Goals,Assists,Points,PIM,SOG,Hits,Blocks,Games Played,Wins,Saves,Save %,GA,Shutouts,Pct Owned
Tyler Bertuzzi,"LW,RW",CHI,33.4,,,,,,,166.6,0.14,,,,,,,,,,,,,,14.0
Anton Forsberg,G,LA,33.0,,,,,,,,,,,,,,,,,,,,,,2.0
Kieffer Bellows,"LW,RW",NSH,33.0,,,,,,,,,,,,,,,,,,,,,,1.0
Kiefer Sherwood,RW,VAN,32.6,,,,,,,,,,,,,,,,,,,,,,
Mackenzie MacEachern,"LW,RW",VAN,32.3,,,,,,,,,,,,,,,,,,,,,,
Marcus Sorensen,"LW,RW",SJ,32.1,,,,,,,,,,,,,,,,,,,,,,
Trevor van Riemsdyk,D,WSH,31.7,,,,,,,,,,,,,,,,,,,,,,
Arttu Ruotsalainen,C,BUF,31.7,,,,,,,,,,,,,,,,,,,,,,
Bowen Byram,D,BUF,31.3,,,,,,,170.9,0.03,,,,,,,,,,,,,,5.0
Nicolas Beaudin,D,CHI,31.3,,,,,,,,,,,,,,,,,,,,,,
Nick Caamano,RW,DAL,31.3,,,,,,,,,,,,,,,,,,,,,,
Liam Foudy,"C,RW",NYI,31.2,,,,,,,,,,,,,,,,,,,,,,
Shane Pinto,C,OTT,30.4,,,,,,,,,,,,,,,,,,,,,,1.0
Chad Ruhwedel,D,NYR,29.9,,,,,,,,,,,,,,,,,,,,,,
Curtis McElhinney,G,TB,29.8,Left Wing Lads,Ryan,,,,,,,,,,,,,,,,,,,,10.0
Braydon Coburn,D,NYI,29.5,,,,,,,,,,,,,,,,,,,,,,
Josef Korenar,G,ARI,29.4,Mitchell's Team,Mitchell,,,,,,,,,,,,,,,,,,,,11.0
Lias Andersson,"C,LW",LA,29.0,,,,,,,,,,,,,,,,,,,,,,
Jake McCabe,D,TOR,28.8,,,,,,,,,,,,,,,,,,,,,,
Lane Pederson,C,PHI,28.4,,,,,,,,,,,,,,,,,,,,,,
Marcus Hogberg,G,NYI,28.4,,,,,,,,,,,,,,,,,,,,,,2.0
Karson Kuhlman,"C,RW",NYI,27.8,,,,,,,,,,,,,,,,,,,,,,
Keith Kinkaid,G,NYI,27.8,,,,,,,,,,,,,,,,,,,,,,1.0
Justin Dowling,C,NYR,27.8,,,,,,,,,,,,,,,,,,,,,,
Adam Brooks,C,PHI,27.4,,,,,,,,,,,,,,,,,,,,,,
Kale Clague,D,WPG,27.4,,,,,,,,,,,,,,,,,,,,,,
Givani Smith,"LW,RW",CAR,27.3,,,,,,,,,,,,,,,,,,,,,,
Andrew Shaw,"C,RW",CHI,27.1,,,,,,,,,,,,,,,,,,,,,,1.0
Kyle Turris,C,EDM,26.9,,,,,,,,,,,,,,,,,,,,,,
Cole Caufield,RW,MTL,26.7,Cam's Mustard Tigers,Cameron,,,,,,,,,,,,,,,,,,,,16.0
Mike Hardman,RW,NJ,26.6,,,,,,,,,,,,,,,,,,,,,,
Andrew Peeke,D,BOS,26.0,,,,,,,,,,,,,,,,,,,,,,
Clark Bishop,C,CGY,25.8,,,,,,,,,,,,,,,,,,,,,,
Samuel Morin,"LW,D",PHI,25.5,,,,,,,,,,,,,,,,,,,,,,
Brad Richardson,C,CGY,25.4,,,,,,,,,,,,,,,,,,,,,,
Greg Pateryn,D,ANA,24.8,,,,,,,,,,,,,,,,,,,,,,
Kyle Rau,"C,RW",MIN,24.7,,,,,,,,,,,,,,,,,,,,,,
Stefan Matteau,"LW,RW",CBJ,24.6,,,,,,,,,,,,,,,,,,,,,,
