Player Name,Position,NHL Team,Fantasy Points,Current Team,Current Owner,Drafted Team,Drafted By,Draft Round,Draft Pick,ADP,Pct Drafted,Goals,Assists,Points,PIM,SOG,Hits,Blocks,Games Played,Wins,Saves,Save %,GA,Shutouts,Pct Owned
Auston Matthews,C,TOR,467.3,Faulk You,Ross,Faulk You,Ross,1,3,7.7,1.0,,,,,,,,,,,,,,99.0
Connor McDavid,C,EDM,467.25,McJesus Take the Wheel,Andrew,McJesus Take the Wheel,Andrew,1,1,1.1,1.0,,,,,,,,,,,,,,99.0
Alex Ovechkin,LW,WSH,440.1,Bert's Uzis,Jesse,Bert's Uzis,Jesse,1,7,11.1,1.0,,,,,,,,,,,,,,99.0
Kirill Kaprizov,"LW,RW",MIN,427.9,Boats and Ahos,Mitchell,Dartmouth Mustard Tigers 🌭🐅,Cameron,4,44,27.1,1.0,,,,,,,,,,,,,,99.0
Leon Draisaitl,"C,LW",EDM,427.4,Goonsquad,Johnathan,Goonsquad,Johnathan,1,4,2.3,1.0,,,,,,,,,,,,,,99.0
Brady Tkachuk,LW,OTT,426.45,DubJ,John,DubJ,John,1,10,26.9,1.0,,,,,,,,,,,,,,97.0
Timo Meier,"LW,RW",NJ,420.1,Motte's Fruit Snacks,Ryan,Motte's Fruit Snacks,Ryan,5,58,149.7,0.16,,,,,,,,,,,,,,91.0
Roman Josi,D,NSH,418.5,DubJ,John,DubJ,John,3,38,60.4,1.0,,,,,,,,,,,,,,99.0
J.T. Miller,"C,LW",NYR,415.35,Marner’s minions,cam,Marner’s minions,cam,4,51,52.3,1.0,,,,,,,,,,,,,,97.0
Matthew Tkachuk,"LW,RW",FLA,413.4,Motte's Fruit Snacks,Ryan,Motte's Fruit Snacks,Ryan,2,27,35.8,1.0,,,,,,,,,,,,,,99.0
Jonathan Huberdeau,LW,CGY,413.1,Marner’s minions,cam,Marner’s minions,cam,2,23,16.4,1.0,,,,,,,,,,,,,,99.0
